"","X","compute_version","gpu_id","gpu_name","l1_cache_used","max_clock_rate","num_of_cores","L2","bus","memory_clock","bandwith","AppName","AppId","Input.Size","Device","Context","Stream","Kernel","Multiprocessor.Activity","Achieved.Occupancy","Executed.IPC","Issued.IPC","Instructions.per.warp","Branch.Efficiency","Warp.Execution.Efficiency","Warp.Non.Predicated.Execution.Efficiency","Instruction.Replay.Overhead","Issue.Slot.Utilization","Shared.Memory.Load.Transactions.Per.Request","Shared.Memory.Store.Transactions.Per.Request","Local.Memory.Load.Transactions.Per.Request","Local.Memory.Store.Transactions.Per.Request","Global.Load.Transactions.Per.Request","Global.Store.Transactions.Per.Request","Shared.Store.Transactions","Shared.Load.Transactions","Local.Load.Transactions","Local.Store.Transactions","Global.Load.Transactions","Global.Store.Transactions","Device.Memory.Read.Transactions","Device.Memory.Write.Transactions","Global.Hit.Rate","Local.Hit.Rate","Requested.Global.Load.Throughput","Requested.Global.Store.Throughput","Global.Load.Throughput","Global.Store.Throughput","Device.Memory.Read.Throughput","Device.Memory.Write.Throughput","Unified.Cache.Throughput","Local.Memory.Load.Throughput","Local.Memory.Store.Throughput","Shared.Memory.Load.Throughput","Shared.Memory.Store.Throughput","Global.Memory.Load.Efficiency","Global.Memory.Store.Efficiency","Unified.Cache.Transactions","Control.Flow.Function.Unit.Utilization","Texture.Function.Unit.Utilization","Load.Store.Function.Unit.Utilization","Double.Precision.Function.Unit.Utilization","Special.Function.Unit.Utilization","Single.Precision.Function.Unit.Utilization","Floating.Point.Operations.Double.Precision.","Floating.Point.Operations.Double.Precision.Add.","Floating.Point.Operations.Double.Precison.FMA.","Floating.Point.Operations.Double.Precision.Mul.","Floating.Point.Operations.Single.Precision.","Floating.Point.Operations.Single.Precision.Add.","Floating.Point.Operations.Single.Precision.FMA.","Floating.Point.Operation.Single.Precision.Mul.","Floating.Point.Operations.Single.Precision.Special.","Instructions.Executed","Instructions.Issued","Device.Memory.Utilization","Unified.Cache.Utilization","Shared.Memory.Efficiency","Shared.Memory.Utilization","FP.Instructions.Single.","FP.Instructions.Double.","Integer.Instructions","Bit.Convert.Instructions","Control.Flow.Instructions","Load.Store.Instructions","Misc.Instructions","Inter.Thread.Instructions","Issue.Slots","Issued.Control.Flow.Instructions","Executed.Control.Flow.Instructions","Issued.Load.Store.Instructions","Executed.Load.Store.Instructions","Atomic.Transactions","Atomic.Transactions.Per.Request","Issue.Stall.Reasons..Instructions.Fetch.","Issue.Stall.Reasons..Execution.Dependency.","Issue.Stall.Reasons..Data.Request.","Issue.Stall.Reasons..Texture.","Issue.Stall.Reasons..Synchronization.","Issue.Stall.Reasons..Other.","Issue.Stall.Reasons..Immediate.constant.","Issue.Stall.Reasons..Pipe.Busy.","Issue.Stall.Reasons..Memory.Throttle.","Issue.Stall.Reasons..Not.Selected.","System.Memory.Read.Transactions","System.Memory.Write.Transactions","L2.Read.Transactions","L2.Write.Transactions","ECC.Transactions","Local.Memory.Overhead","Unified.Cache.Hit.Rate","L2.Hit.Rate..Texture.Reads.","L2.Hit.Rate..Texture.Writes.","L2.Throughput..Texture.Reads.","L2.Throughput..Texture.Writes.","L2.Transactions..Texture.Reads.","L2.Transactions..Texture.Writes.","L2.Throughput..Reads.","L2.Throughput..Writes.","System.Memory.Read.Throughput","System.Memory.Write.Throughput","L2.Cache.Utilization","L2.Throughput..Atomic.requests.","L2.Transactions..Atomic.requests.","System.Memory.Utilization","ECC.Throughput","Eligible.Warps.Per.Active.Cycle","FLOP.Efficiency.Peak.Single.","FLOP.Efficiency.Peak.Double.","Device","Context","Stream","Kernel","tex0_cache_sector_queries","tex1_cache_sector_queries","tex0_cache_sector_misses","tex1_cache_sector_misses","fb_subp0_read_sectors","fb_subp1_read_sectors","fb_subp0_write_sectors","fb_subp1_write_sectors","l2_subp0_write_sector_misses","l2_subp1_write_sector_misses","l2_subp0_read_sector_misses","l2_subp1_read_sector_misses","l2_subp0_read_tex_sector_queries","l2_subp1_read_tex_sector_queries","l2_subp0_write_tex_sector_queries","l2_subp1_write_tex_sector_queries","l2_subp0_read_tex_hit_sectors","l2_subp1_read_tex_hit_sectors","l2_subp0_write_tex_hit_sectors","l2_subp1_write_tex_hit_sectors","l2_subp0_total_read_sector_queries","l2_subp1_total_read_sector_queries","l2_subp0_total_write_sector_queries","l2_subp1_total_write_sector_queries","l2_subp0_read_sysmem_sector_queries","l2_subp1_read_sysmem_sector_queries","l2_subp0_write_sysmem_sector_queries","l2_subp1_write_sysmem_sector_queries","elapsed_cycles_sm","gld_inst_8bit","gld_inst_16bit","gld_inst_32bit","gld_inst_64bit","gld_inst_128bit","gst_inst_8bit","gst_inst_16bit","gst_inst_32bit","gst_inst_64bit","gst_inst_128bit","prof_trigger_00","prof_trigger_01","prof_trigger_02","prof_trigger_03","prof_trigger_04","prof_trigger_05","prof_trigger_06","prof_trigger_07","warps_launched","inst_issued0","inst_issued1","inst_issued2","inst_executed","thread_inst_executed","not_predicated_off_thread_inst_executed","local_store","local_load","shared_load","shared_store","shared_atom_cas","shared_atom","global_atom_cas","atom_count","gred_count","global_load","global_store","divergent_branch","branch","active_cycles","active_warps","active_ctas","sm_cta_launched","shared_ld_bank_conflict","shared_st_bank_conflict","shared_ld_transactions","shared_st_transactions","Start","Duration","Grid.X","Grid.Y","Grid.Z","Block.X","Block.Y","Block.Z","Registers.Per.Thread","Static.SMem","Dynamic.SMem"
"193",7,5.2,8,"TitanX",0,1076,3072,3,384,3505,"336,48","matrix_sum_coalesced",6,256,"GeForce GTX TITAN X (0)",1,7,"matSum(float*, float*, float*, int)",33.460384,0.670522,1.500699,1.60592,33,100,100,96.969697,0.075684,39.000739,0,0,0,0,8,4,0,0,0,0,32768,8192,0,556,50,0,125.136148,62.568074,125.136148,62.568074,0,4.246564,125.136148,0,0,0,0,100,100,16384,"Low (1)","Low (3)","Low (1)","Idle (0)","Idle (0)","Low (3)",0,0,0,0,65536,65536,0,0,0,67584,72699,"Low (1)","Low (1)",0,"Idle (0)",65536,0,1376256,0,65536,196608,393216,0,70651,4096,4096,32768,14336,0,0,10.183552,13.364031,34.697886,0,0,19.394901,16.765621,0.7252,2.117355,2.751453,0,5,16631,8198,0,0,50,100,100,125.136148,62.568074,16384,8192,127.022661,62.6139,0,39.105046,"Low (2)",0,0,"Low (1)",0,2.905396,0.189607,0,"GeForce GTX TITAN X (0)",1,7,"matSum(float*, float*, float*, int)",24576,24576,16384,16384,0,0,2140,6,2157,2127,8,12,8192,8192,4096,4096,8192,8192,4096,4096,8336,8320,4096,4102,0,0,0,5,141384,0,0,131072,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,2048,106638,67670,2048,67584,2162688,2097152,0,0,0,0,0,0,0,0,0,4096,2048,0,4096,54251,2502864,253466,256,0,0,0,0,1.300985,6.08e-06,32,32,1,8,8,1,8,0,0
"194",7,5.2,8,"TitanX",0,1076,3072,3,384,3505,"336,48","matrix_sum_coalesced",6,512,"GeForce GTX TITAN X (0)",1,7,"matSum(float*, float*, float*, int)",68.431371,0.795502,1.035794,1.460862,33,100,100,96.969697,0.020552,35.435221,0,0,0,0,8,4,0,0,0,0,131072,32768,24460,38567,50,0,194.302129,97.151064,194.302129,97.151064,72.51938,114.344028,194.302129,0,0,0,0,100,100,65536,"Low (1)","Low (3)","Low (1)","Idle (0)","Idle (0)","Low (3)",0,0,0,0,262144,262144,0,0,0,270336,275892,"Mid (6)","Low (1)",0,"Idle (0)",262144,0,5505024,0,262144,786432,1572864,0,267700,16384,16384,131072,57344,0,0,3.448819,9.639026,65.213077,0,0,9.544869,7.052344,0.32711,2.076307,2.698447,0,5,65639,32774,0,0,50,60.601807,50.158691,194.302129,97.151064,65536,32768,194.607505,97.168853,0,15.179853,"Mid (4)",0,0,"Low (1)",0,2.673375,0.359763,0,"GeForce GTX TITAN X (0)",1,7,"matSum(float*, float*, float*, int)",98304,98304,65536,65536,12040,11124,18822,19436,18799,18872,12064,11812,32768,32768,16384,16384,20356,20236,8192,8192,32912,32871,16389,16385,0,0,1,4,287060,0,0,524288,0,0,0,0,262144,0,0,0,0,0,0,0,0,0,0,8192,497154,259511,8192,270336,8650752,8388608,0,0,0,0,0,0,0,0,0,16384,8192,0,16384,192988,9534786,1146325,1024,0,0,0,0,1.354269,1.392e-05,64,64,1,8,8,1,8,0,0
"195",7,5.2,8,"TitanX",0,1076,3072,3,384,3505,"336,48","matrix_sum_coalesced",6,768,"GeForce GTX TITAN X (0)",1,7,"matSum(float*, float*, float*, int)",86.178552,0.834468,0.955189,0.957791,33,100,100,96.969697,0.00834,23.225727,0,0,0,0,8,4,0,0,0,0,294912,73728,133804,79185,50,0,164.885609,82.442804,164.885609,82.442804,149.619914,88.544833,164.885609,0,0,0,0,100,100,147456,"Low (1)","Low (2)","Low (1)","Idle (0)","Idle (0)","Low (2)",0,0,0,0,589824,589824,0,0,0,608256,613329,"High (8)","Low (2)",0,"Idle (0)",589824,0,12386304,0,589824,1769472,3538944,0,594897,36864,36864,294912,129024,0,0,2.85404,6.4637,81.377668,0,0,4.028524,2.245282,0.129823,1.482637,1.418326,0,5,147703,73734,0,0,50,7.126194,50,164.885609,82.442804,147456,73728,165.161805,82.449514,0,5.725194,"Mid (4)",0,0,"Low (1)",0,1.546631,0.315142,0,"GeForce GTX TITAN X (0)",1,7,"matSum(float*, float*, float*, int)",221184,221184,147456,147456,66944,66412,39561,37832,39651,39558,67192,67032,73728,73728,36864,36864,0,0,18432,18432,73872,73831,36869,36865,0,0,1,4,742668,0,0,1179648,0,0,0,0,589824,0,0,0,0,0,0,0,0,0,0,18432,1965965,576475,18432,608256,19464192,18874368,0,0,0,0,0,0,0,0,0,36864,18432,0,36864,642652,33983420,4537251,2304,0,0,0,0,1.321206,2.9696e-05,96,96,1,8,8,1,8,0,0
"196",7,5.2,8,"TitanX",0,1076,3072,3,384,3505,"336,48","matrix_sum_coalesced",6,1024,"GeForce GTX TITAN X (0)",1,7,"matSum(float*, float*, float*, int)",93.07744,0.866619,0.877383,0.875333,33,100,100,96.969697,0.004687,21.223586,0,0,0,0,8,4,0,0,0,0,524288,131072,262176,135597,50,0,160.870192,80.435096,160.870192,80.435096,160.889829,83.211958,160.870192,0,0,0,0,100,100,262144,"Low (1)","Low (2)","Low (1)","Idle (0)","Idle (0)","Low (2)",0,0,0,0,1048576,1048576,0,0,0,1081344,1086896,"High (8)","Low (1)",0,"Idle (0)",1048576,0,22020096,0,1048576,3145728,6291456,0,1054128,65536,65536,524288,229376,0,0,1.843283,4.684721,87.305997,0,0,3.135676,0.686942,0.096644,1.103547,1.143188,0,5,262391,131078,0,0,50,0,50,160.870192,80.435096,262144,131072,161.021769,80.438778,0,3.141995,"Low (3)",0,0,"Low (1)",0,1.45619,0.310834,0,"GeForce GTX TITAN X (0)",1,7,"matSum(float*, float*, float*, int)",393216,393216,262144,262144,131072,131129,67662,64465,67509,67735,131072,131080,131072,131072,65536,65536,0,0,32768,32768,131120,131127,65541,65537,0,0,5,0,1314928,0,0,2097152,0,0,0,0,1048576,0,0,0,0,0,0,0,0,0,0,32768,3883567,1020890,32768,1081344,34603008,33554432,0,0,0,0,0,0,0,0,0,65536,32768,0,65536,1220795,67436046,7893628,4096,0,0,0,0,1.349712,5.2449e-05,128,128,1,8,8,1,8,0,0
"197",7,5.2,8,"TitanX",0,1076,3072,3,384,3505,"336,48","matrix_sum_coalesced",6,1280,"GeForce GTX TITAN X (0)",1,7,"matSum(float*, float*, float*, int)",95.364301,0.862584,0.873439,0.883213,33,100,100,96.969697,0.00302,21.413249,0,0,0,0,8,4,0,0,0,0,819200,204800,409624,207679,50,0,162.940738,81.470369,162.940738,81.470369,162.950285,82.615648,162.940738,0,0,0,0,100,100,409600,"Low (1)","Low (2)","Low (1)","Idle (0)","Idle (0)","Low (2)",0,0,0,0,1638400,1638400,0,0,0,1689600,1694703,"High (8)","Low (2)",0,"Idle (0)",1638400,0,34406400,0,1638400,4915200,9830400,0,1643503,102400,102400,819200,358400,0,0,1.35593,4.701567,88.874497,0,0,2.203096,0.671133,0.09392,1.108215,0.991642,0,5,409847,204806,0,0,50,0,50,162.940738,81.470369,409600,204800,163.038995,81.472756,0,2.036758,"Mid (4)",0,0,"Low (1)",0,1.389645,0.315429,0,"GeForce GTX TITAN X (0)",1,7,"matSum(float*, float*, float*, int)",614400,614400,409600,409600,204800,204824,104479,104768,104499,104827,204800,204808,204800,204800,102400,102400,0,0,51200,51200,204992,204948,102400,102406,0,0,4,1,1757232,0,0,3276800,0,0,0,0,1638400,0,0,0,0,0,0,0,0,0,0,51200,4977499,1592271,51200,1689600,54067200,52428800,0,0,0,0,0,0,0,0,0,102400,51200,0,102400,1668643,90823074,12480657,6400,0,0,0,0,1.316068,8.8705e-05,160,160,1,8,8,1,8,0,0
"198",7,5.2,8,"TitanX",0,1076,3072,3,384,3505,"336,48","matrix_sum_coalesced",6,1536,"GeForce GTX TITAN X (0)",1,7,"matSum(float*, float*, float*, int)",96.75598,0.861914,0.877249,1.015237,33,100,100,96.969697,0.002274,24.6134,0,0,0,0,8,4,0,0,0,0,1179648,294912,589848,297577,50,0,164.495232,82.247616,164.495232,82.247616,164.501925,82.990854,164.495232,0,0,0,0,100,100,589824,"Low (1)","Low (2)","Low (1)","Idle (0)","Idle (0)","Low (2)",0,0,0,0,2359296,2359296,0,0,0,2433024,2438556,"High (8)","Low (2)",0,"Idle (0)",2359296,0,49545216,0,2359296,7077888,14155776,0,2364828,147456,147456,1179648,516096,0,0,1.546338,5.517522,87.229464,0,0,2.626398,0.494325,0.115573,1.302201,1.168178,0,5,589927,294918,0,0,50,0,50,164.495232,82.247616,589824,294912,164.523958,82.249289,0,1.42791,"Mid (4)",0,0,"Low (1)",0,1.600119,0.370528,0,"GeForce GTX TITAN X (0)",1,7,"matSum(float*, float*, float*, int)",884736,884736,589824,589824,294912,294993,149419,146359,149228,149059,294912,294920,294912,294912,147456,147456,0,0,73728,73728,294960,294967,147460,147458,0,0,4,1,2860716,0,0,4718592,0,0,0,0,2359296,0,0,0,0,0,0,0,0,0,0,73728,8698308,2290660,73728,2433024,77856768,75497472,0,0,0,0,0,0,0,0,0,147456,73728,0,147456,2767696,152804984,20882352,9216,0,0,0,0,1.358179,0.000119618,192,192,1,8,8,1,8,0,0
"199",7,5.2,8,"TitanX",0,1076,3072,3,384,3505,"336,48","matrix_sum_coalesced",6,1792,"GeForce GTX TITAN X (0)",1,7,"matSum(float*, float*, float*, int)",97.434529,0.86116,0.868117,1.0102,33,100,100,96.969697,0.001534,24.490979,0,0,0,0,8,4,0,0,0,0,1605632,401408,802848,405927,50,0,165.072555,82.536278,165.072555,82.536278,165.079135,83.465461,165.072555,0,0,0,0,100,100,802816,"Low (1)","Low (2)","Low (1)","Idle (0)","Idle (0)","Low (2)",0,0,0,0,3211264,3211264,0,0,0,3311616,3316696,"High (8)","Low (2)",0,"Idle (0)",3211264,0,67436544,0,3211264,9633792,19267584,0,3216344,200704,200704,1605632,702464,0,0,1.691862,5.460578,87.459838,0,0,2.457311,0.365478,0.113713,1.295982,1.155237,0,5,802919,401414,0,0,50,0,50,165.072555,82.536278,802816,401408,165.093734,82.537511,0,1.052758,"Mid (4)",0,0,"Low (1)",0,1.588048,0.320954,0,"GeForce GTX TITAN X (0)",1,7,"matSum(float*, float*, float*, int)",1204224,1204224,802816,802816,401408,401489,203021,199544,202838,203045,401408,401416,401408,401408,200704,200704,0,0,100352,100352,401456,401463,200705,200709,0,0,5,0,3893948,0,0,6422528,0,0,0,0,3211264,0,0,0,0,0,0,0,0,0,0,100352,11991754,3115998,100352,3311616,105971712,102760448,0,0,0,0,0,0,0,0,0,200704,100352,0,200704,3797732,208602436,28637880,12544,0,0,0,0,1.381027,0.000170594,224,224,1,8,8,1,8,0,0
"200",7,5.2,8,"TitanX",0,1076,3072,3,384,3505,"336,48","matrix_sum_coalesced",6,2048,"GeForce GTX TITAN X (0)",1,7,"matSum(float*, float*, float*, int)",98.169303,0.863368,0.865414,1.008901,33,100,100,96.969697,0.001179,24.459098,0,0,0,0,8,4,0,0,0,0,2097152,524288,1048584,528177,50,0,164.542965,82.271483,164.542965,82.271483,164.544221,82.881746,164.542965,0,0,0,0,100,100,1048576,"Low (1)","Low (2)","Low (1)","Idle (0)","Idle (0)","Low (2)",0,0,0,0,4194304,4194304,0,0,0,4325376,4330477,"High (8)","Low (2)",0,"Idle (0)",4194304,0,88080384,0,4194304,12582912,25165824,0,4199405,262144,262144,2097152,917504,0,0,1.315792,4.587583,89.436496,0,0,2.271646,0.169124,0.095159,1.097162,1.027038,0,5,1048823,524294,0,0,50,0,50,164.542965,82.271483,1048576,524288,164.581725,82.272424,0,822.713867,"Mid (4)",0,0,"Low (1)",0,1.618,0.321457,0,"GeForce GTX TITAN X (0)",1,7,"matSum(float*, float*, float*, int)",1572864,1572864,1048576,1048576,524332,524296,261419,264301,261373,261399,524352,524365,524288,524288,262144,262144,0,0,131072,131072,524336,524343,262145,262149,0,0,5,0,4412540,0,0,8388608,0,0,0,0,4194304,0,0,0,0,0,0,0,0,0,0,131072,13004026,4068289,131072,4325376,138412032,134217728,0,0,0,0,0,0,0,0,0,262144,131072,0,262144,4318772,236843878,32113222,16384,0,0,0,0,1.412965,0.000208002,256,256,1,8,8,1,8,0,0
"201",7,5.2,8,"TitanX",0,1076,3072,3,384,3505,"336,48","matrix_sum_coalesced",6,2304,"GeForce GTX TITAN X (0)",1,7,"matSum(float*, float*, float*, int)",98.428204,0.865953,1.00768,0.872455,33,100,100,96.969697,0.001012,21.151039,0,0,0,0,8,4,0,0,0,0,2654208,663552,1327112,668286,50,0,166.167884,83.083942,166.167884,83.083942,166.168886,83.67669,166.167884,0,0,0,0,100,100,1327104,"Low (1)","Low (2)","Low (1)","Idle (0)","Idle (0)","Low (2)",0,0,0,0,5308416,5308416,0,0,0,5474304,5479845,"High (8)","Low (2)",0,"Idle (0)",5308416,0,111476736,0,5308416,15925248,31850496,0,5313957,331776,331776,2654208,1161216,0,0,1.363099,4.592874,89.650672,2.6e-05,0,2.068185,0.191905,0.091577,1.093475,0.948188,0,5,1327207,663558,0,0,50,0,50,166.167884,83.083942,1327104,663552,166.180781,83.084693,0,656.464844,"Mid (4)",0,0,"Low (1)",0,1.357765,0.325263,0,"GeForce GTX TITAN X (0)",1,7,"matSum(float*, float*, float*, int)",1990656,1990656,1327104,1327104,663552,663560,334435,333551,334418,334321,663552,663560,663552,663552,331776,331776,0,0,165888,165888,663808,663776,331776,331782,0,0,0,5,6397480,0,0,10616832,0,0,0,0,5308416,0,0,0,0,0,0,0,0,0,0,165888,19763005,5147621,165888,5474304,175177728,169869312,0,0,0,0,0,0,0,0,0,331776,165888,0,331776,6302858,347232914,47248779,20736,0,0,0,0,1.43553,0.000274595,288,288,1,8,8,1,8,0,0
"202",7,5.2,8,"TitanX",0,1076,3072,3,384,3505,"336,48","matrix_sum_coalesced",6,2560,"GeForce GTX TITAN X (0)",1,7,"matSum(float*, float*, float*, int)",98.791412,0.860742,0.872452,0.872361,33,100,100,96.969697,0.000821,21.148631,0,0,0,0,8,4,0,0,0,0,3276800,819200,1638408,824343,50,0,166.697819,83.34891,166.697819,83.34891,166.698633,83.87218,166.697819,0,0,0,0,100,100,1638400,"Low (1)","Low (2)","Low (1)","Idle (0)","Idle (0)","Low (2)",0,0,0,0,6553600,6553600,0,0,0,6758400,6763470,"High (8)","Low (2)",0,"Idle (0)",6553600,0,137625600,0,6553600,19660800,39321600,0,6558670,409600,409600,3276800,1433600,0,0,1.540455,5.47295,87.792004,0,0,2.440561,0.177258,0.11091,1.316131,1.149731,0,5,1638647,819206,0,0,50,0,50,166.697819,83.34891,1638400,819200,166.72295,83.34952,0,533.432617,"Mid (4)",0,0,"Low (1)",0,1.36557,0.377852,0,"GeForce GTX TITAN X (0)",1,7,"matSum(float*, float*, float*, int)",2457600,2457600,1638400,1638400,819200,819208,411488,412552,411958,411788,819200,819208,819200,819200,409600,409600,0,0,204800,204800,819248,819255,409605,409601,0,0,5,0,7833820,0,0,13107200,0,0,0,0,6553600,0,0,0,0,0,0,0,0,0,0,204800,24389546,6354445,204800,6758400,216268800,209715200,0,0,0,0,0,0,0,0,0,409600,204800,0,409600,7738757,424835222,58604116,25600,0,0,0,0,1.451835,0.00034778,320,320,1,8,8,1,8,0,0
